id,name,product_url,original_price,sale_price,image_url,source_page
28,"(SOLD) Hand Knotted authentic antique Persian Heriz Serapies size 11ft 2"" by 14ft 6"" circa 1900s 100% wool pile and cotton foundation",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-authentic-antique-persian-heriz-serapies-size-11ft-2-by-14ft-6-circa-1900s-100-wool-pile-and-cotton-foundation,"$45,000.00","$29,000.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000024780-8bd8813.jpg,2
29,"Hand Knotted authentic antique Persian Heriz serapi size 11ft 4"" by 15ft 6"" circa 1880s 100% Cotton foundation wool pile",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-authentic-antique-persian-heriz-serapi-size-11ft-4-by-15ft-6-circa-1880s-100-cotton-foundation-wool-pile,"$65,000.00","$42,000.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000024805-09e9644.jpg,2
30,"Hand Knotted authentic antique Turkish oushak design size 10ft 4""by 12ft 7"" 100% pure wool circa 1920s",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-authentic-antique-turkish-oushak-design-size-10ft-4by-12ft-7-100-pure-wool-circa-1920s,"$9,900.00","$6,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000024666.jpg,2
31,"Decorative hand knottted authentic antique art deco Chinese rug size 9'11""x12'7""circa 1900s vintage",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knottted-authentic-antique-art-deco-chinese-rug-size-911x127circa-1900s-vintage,"$6,500.00","$3,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000024653.jpg,3
32,"Hand Knotted authentic antique Persian Heriz rug size 11ft 11"" by 16ft 6"" circa 1900s",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-authentic-antique-persian-heriz-rug-size-11ft-11-by-16ft-6-circa-1900s,"$55,000.00","$27,000.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000024547.jpg,3
33,Decorative hand Knotted beautiful authentic Persian Heriz size 9ft by 12ft made of 100% pure wool circa 1900s,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-beautiful-authentic-persian-tabriz-size-6ft-8-by-9ft-10-made-of-100-pure-silk-and-wool,"$12,500.00","$7,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000021677.jpg,3
34,Decorative 100% hand Knotted silk and wool modern kohi nor design size 8ft by 10ft soft colors,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-hand-knotted-silk-and-wool-modern-kohi-nor-design-size-8ft-by-10ft--soft-colors,"$5,500.00","$3,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019644.jpg,3
35,Decorative beautiful 100% hand Knotted silk and wool modern grass design size 9ft by 12ft soft colors,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-beautiful-100-hand-knotted-silk-and-wool-modern-grass-design-size-9ft-by-12ft-soft-colors,"$5,900.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019634.jpg,3
36,Decorative 100% hand Knotted silk and wool modern grass design size 9ft by 12ft soft colors,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-hand-knotted-silk-and-wool-modern-grass-design-size-9ft-by-12ft-soft-colors,"$5,900.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019632.jpg,3
37,Decorative 100% hand Knotted silk and wool modern grass design size 8ft by 10ft soft colors,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-hand-knotted-silk-and-wool-modern-grass-design-size-8ft-by-10ft-soft-colors,"$4,900.00","$3,100.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019622.jpg,3
38,Decorative 100% hand Knotted silk and wool modern grass design size9ft by 12ft soft blue,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-hand-knotted-silk-and-wool-modern-grass-design-size-8ft-by-10ft--soft-blue,"$5,900.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019606.jpg,3
39,Decorative 100% hand Knotted silk and wool modern garss design size 8ft by 10ft soft colors,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-hand-knotted-silk-and-wool-modern-garss-design-size-8ft--by-10ft--soft-colors,"$4,900.00","$3,100.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019605.jpg,3
40,Decorative hand woven 100% pure wool modern design Indian rug size 6ft by 9ft soft blue,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-woven-100-pure-wool-modern-design-indian-rug-size-6ft-by-9ft--soft-blue,"$2,900.00","$1,600.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019600.jpg,3
41,Decorative 100% hand Knotted silk and wool modern garss design size soft pink and blue size 9ft by 12ft,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-hand-knotted-silk-and-wool-modern-garss-design-size--soft-pink-and-blue-size-9ft-by-12ft,"$6,900.00","$4,200.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019592.jpg,3
42,"Rare design hand Knotted 100% pure wool Afghan Herati design size 5'10""x7'8"" very fine quality wool rug",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/rare-design-hand-knotted--100-pure-wool-afghan-herati-design-size-510x78-very-fine-quality-wool-rug,"$3,450.00","$2,308.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000019428.jpg,3
43,"Authentic hand knotted antique coucasian kazakh design circa 1880s size 3fdt 8"" by 8ft 100% pure wool one of its kind",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/authentic-hand-knotted-antique-coucasian-kazakh-design-circa-1880s-size-3fdt-8-by-8ft-100-pure-wool-one-of-its-kind,"$8,500.00","$5,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/20250729_102514%5B1%5D.jpg,3
